"filename", "language", "JavaScript", "HTML", "JSON with Comments", "JSON", "Markdown", "PostCSS", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/.eslintrc.json", "JSON with Comments", 0, 0, -3, 0, 0, 0, 0, 0, -3
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/README.md", "Markdown", 0, 0, 0, 0, -41, 0, 0, -12, -53
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/docs/developer.md", "Markdown", 0, 0, 0, 0, -35, 0, 0, -17, -52
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/docs/reflection.md", "Markdown", 0, 0, 0, 0, -71, 0, 0, -48, -119
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/docs/test-report.md", "Markdown", 0, 0, 0, 0, -15, 0, 0, -4, -19
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/docs/tests.md", "Markdown", 0, 0, 0, 0, -130, 0, 0, -46, -176
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/nodemon.json", "JSON", 0, 0, 0, -3, 0, 0, 0, 0, -3
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/package-lock.json", "JSON", 0, 0, 0, -5084, 0, 0, 0, -1, -5085
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/package.json", "JSON", 0, 0, 0, -35, 0, 0, 0, -1, -36
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/css/store.css", "PostCSS", 0, 0, 0, 0, 0, -245, 0, -46, -291
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/css/style.css", "PostCSS", 0, 0, 0, 0, 0, -22, 0, -4, -26
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/README.md", "Markdown", 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/index.js", "JavaScript", -1, 0, 0, 0, 0, 0, 0, -1, -2
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/my-order-item.css.js", "JavaScript", -16, 0, 0, 0, 0, 0, 0, -2, -18
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/my-order-item.html.js", "JavaScript", -8, 0, 0, 0, 0, 0, 0, -2, -10
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/my-order-item.js", "JavaScript", -19, 0, 0, 0, 0, 0, -23, -8, -50
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/index.js", "JavaScript", -3, 0, 0, 0, 0, 0, -6, -3, -12
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/store/OrderSystemApi.js", "JavaScript", -59, 0, 0, 0, 0, 0, -46, -13, -118
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/store/OrderSystemUI.js", "JavaScript", -241, 0, 0, 0, 0, 0, -118, -50, -409
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/store/StoreControllerView.js", "JavaScript", -82, 0, 0, 0, 0, 0, -58, -19, -159
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/config/mongoose.js", "JavaScript", -20, 0, 0, 0, 0, 0, -19, -8, -47
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/config/sessionOptions.js", "JavaScript", -14, 0, 0, 0, 0, 0, -6, -3, -23
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/controllers/AdminController.js", "JavaScript", -8, 0, 0, 0, 0, 0, -20, -2, -30
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/controllers/ApiController.js", "JavaScript", -81, 0, 0, 0, 0, 0, -63, -18, -162
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/controllers/StoreController.js", "JavaScript", -5, 0, 0, 0, 0, 0, -13, -1, -19
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/data/productData.js", "JavaScript", -248, 0, 0, 0, 0, 0, -6, -2, -256
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/data/storeData.js", "JavaScript", -9, 0, 0, 0, 0, 0, -6, -5, -20
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/middleware/errorhandler.js", "JavaScript", -24, 0, 0, 0, 0, 0, -14, -6, -44
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/middleware/helmetCSP.js", "JavaScript", -23, 0, 0, 0, 0, 0, -3, -2, -28
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/models/OrderModel.js", "JavaScript", -33, 0, 0, 0, 0, 0, -5, -5, -43
