"filename", "language", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/README.md", "Markdown", 0, -1, 0, 0, -1
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/index.js", "JavaScript", -1, 0, 0, -1, -2
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/my-order-item.css.js", "JavaScript", -16, 0, 0, -2, -18
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/my-order-item.html.js", "JavaScript", -8, 0, 0, -2, -10
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/components/my-orderItem/my-order-item.js", "JavaScript", -19, 0, -23, -8, -50
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/index.js", "JavaScript", -3, 0, -6, -3, -12
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/store/OrderSystemApi.js", "JavaScript", -59, 0, -46, -13, -118
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/store/OrderSystemUI.js", "JavaScript", -241, 0, -118, -50, -409
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/public/js/store/StoreControllerView.js", "JavaScript", -82, 0, -58, -19, -159
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/InvoiceView.js", "JavaScript", 126, 0, 27, 10, 163
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/ModelInvoice.js", "JavaScript", 75, 0, 83, 21, 179
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/Order.js", "JavaScript", 119, 0, 94, 35, 248
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/Product.js", "JavaScript", 72, 0, 99, 22, 193
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/ProductCatalog.js", "JavaScript", 62, 0, 46, 18, 126
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/Store.js", "JavaScript", 63, 0, 69, 20, 152
"Total", "-", 88, -1, 167, 28, 282
